Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0598,55206.39999999999,21600,19800,9000
0599,39159.49999999999,27000,21600,3600
0600,54159.75,23400,19800,7200
0601,51242.649999999994,27000,21600,9000
0602,42330.95,18000,12600,7200
0603,39149.55,21600,18000,7200
0604,42149.64999999999,25200,18000,7200
0605,40713.95,23400,19800,3600
0606,40658.35,18000,14400,7200
0607,30972.9,18000,18000,3600
0608,45370.850000000006,25200,19800,5400
0609,48603.29999999998,21600,16200,5400
0610,48544.25,25200,19800,9000
0611,50515,25200,19800,5400
0612,35453.1,21600,19800,3600
0613,36298.8,21600,19800,3600
0614,57006.04999999999,25200,19800,9000
0615,43796.45000000001,25200,18000,7200
0616,39881.6,27000,21600,3600
0617,53896.1,21600,18000,7200
0618,44660.6,19800,18000,7200
0619,35324.899999999994,21600,18000,3600
0620,46418.399999999994,25200,21600,7200
0621,57592.09999999999,27000,21600,7200
0622,46870.9,23400,18000,9000
0623,47713.00000000001,18000,16200,10800
0624,47760.1,18000,18000,10800
0625,41522.54999999999,21600,16200,7200
0626,38270.85,23400,18000,3600
0627,31398.35,23400,16200,3600
0628,46886.2,21600,16200,9000
0629,41014.15,23400,18000,7200
0630,51651.04999999999,21600,19800,5400
0631,33699.9,18000,14400,5400
0632,42792.95,21600,16200,10800
0633,39836.649999999994,19800,14400,7200
0634,47894.85,25200,21600,7200
0635,54577.75,23400,19800,7200
0636,54590.79999999999,21600,18000,9000
0637,44113.099999999984,25200,23400,5400
0638,51618.54999999999,25200,19800,7200
0639,47596.600000000006,23400,19800,7200
0640,47651.35,27000,18000,9000
0641,37728.04999999999,21600,14400,5400
0642,41905.04999999999,23400,21600,5400
0643,33050.200000000004,19800,16200,7200
0644,43966.90000000001,25200,18000,9000
0645,43374.2,23400,19800,7200
0646,48259.95,23400,16200,5400
0647,48268.6,19800,14400,7200
0648,40959.600000000006,23400,21600,5400
0649,61992.2,25200,21600,9000
0650,44310.9,25200,19800,7200
0651,53607.7,21600,16200,9000
0652,56638.70000000001,19800,18000,9000
0653,42789.649999999994,23400,16200,7200
0654,38841.54999999999,25200,19800,5400
0655,48017.44999999998,19800,18000,5400
0656,41084.24999999999,23400,18000,7200
0657,35051.25,19800,16200,7200
0658,53577.44999999999,27000,23400,5400
0659,36464.899999999994,23400,19800,3600
0660,34610.65000000001,23400,16200,5400
0661,52101.04999999999,21600,18000,7200
0662,39063.65,23400,18000,7200
0663,46305.7,28800,21600,5400
0664,38111.95,21600,19800,3600
0665,51223.44999999998,27000,21600,9000
0666,37277.94999999999,19800,14400,7200
0667,27056.550000000003,21600,12600,3600
0668,37683.149999999994,21600,16200,5400
0669,49715.90000000001,19800,16200,7200
0670,38501.5,16200,16200,5400
0671,59628.65,23400,21600,9000
0672,47935.35,23400,21600,7200
0673,41865.85,23400,18000,7200
0674,37216.450000000004,21600,14400,5400
0675,46265.899999999994,25200,19800,7200
0676,57112.89999999999,25200,25200,7200
0677,49900.6,16200,14400,7200
0678,37230.149999999994,23400,16200,7200
0679,58409.09999999999,23400,21600,7200
0680,49173.79999999999,21600,16200,7200
0681,40527.79999999999,23400,16200,7200
0682,55648.79999999999,21600,19800,9000
0683,49065.74999999998,21600,19800,5400
0684,33635.75000000001,21600,18000,5400
0685,49189.34999999999,21600,14400,7200
0686,62588.59999999999,25200,25200,9000
0687,47524.25,25200,16200,5400
0688,51807.54999999999,21600,18000,10800
0689,39963.4,23400,18000,7200
0690,48940.649999999994,23400,16200,7200
0691,45584.3,23400,19800,7200
0692,46728.09999999999,23400,16200,9000
0693,49393.29999999999,25200,19800,5400
0694,39075.6,25200,21600,3600
0695,49432.599999999984,23400,19800,5400
0696,52396.8,19800,18000,7200
0697,59589.39999999999,21600,19800,9000
0698,31818.600000000006,21600,19800,1800
0699,51263.54999999999,23400,18000,9000
0700,37524.84999999999,25200,19800,5400
0701,42150.00000000001,25200,19800,5400
0702,37006.549999999996,23400,19800,5400
0703,51693.15,19800,16200,9000
0704,36271.94999999999,23400,16200,5400
0705,43256.19999999999,23400,18000,5400
0706,57574.44999999998,28800,25200,9000
0707,48812.149999999994,27000,25200,5400
0708,60666.69999999999,23400,18000,10800
0709,38904.649999999994,18000,14400,5400
0710,46597.7,25200,18000,9000
0711,50956.699999999975,23400,19800,5400
0712,36500.15,21600,16200,5400
0713,62587.34999999999,27000,19800,10800
0714,59037.09999999999,23400,19800,9000
0715,35073.05,21600,14400,5400
0716,45352.4,23400,19800,7200
0717,54407.34999999999,23400,18000,9000
0718,30382.500000000004,16200,14400,5400
0719,32849.35,23400,16200,5400
0720,58681.14999999999,21600,21600,7200
0721,40072.35,23400,16200,7200
0722,39920.75,21600,18000,7200
0723,28820.15,21600,18000,1800
0724,42236.1,23400,19800,5400
0725,48809.49999999999,27000,19800,3600
0726,57378.3,23400,18000,9000
0727,59009.7,21600,19800,9000
0728,32492.950000000004,23400,19800,1800
0729,58660.69999999999,25200,19800,9000
0730,61753.14999999999,23400,23400,7200
0731,50507.899999999994,19800,14400,9000
0732,43594.70000000001,18000,14400,5400
0733,43655.9,25200,18000,7200
